ID,Data,Produto,Categoria,Quantidade,Preço
1,9,Vestuário,2023-05-05,2194.25,Calça Jeans
2,3855.32,Monitor,2023-05-30,Eletrônicos,
2,3,Smartphone,2023-08-07,1234.98,Eletrônicos
3424.67,4,6,2023-04-06,Tênis,Vestuário
2023-07-28,2020.99,5,9,Smartwatch,Eletrônicos
Câmera,6,2023-09-23,186.96,Eletrônicos,
2,2467.51,7,Pão,Alimentos,2023-07-09
8,2023-03-13,Monitor,1590.08,Eletrônicos,
2023-01-05,7,Blusa,9,Vestuário,3216.38
4,10,2023-12-29,3227.1,Eletrônicos,Notebook
7,11,Vestuário,4336.18,Vestido,2023-02-24
3,4613.07,Alimentos,12,Feijão,2023-11-14
4,Vestuário,13,Camiseta,2023-03-28,2783.27
8,Vestuário,14,Shorts,2041.92,2023-11-16
2023-04-01,7,Alimentos,15,Arroz,4797.56
Microfone,1953.05,3,16,2023-01-27,Eletrônicos
Legumes,4132.01,2023-03-14,Alimentos,10,17
6,4188.31,Monitor,18,2023-09-30,Eletrônicos
2023-12-25,10,19,2198.86,Eletrônicos,Notebook
1184.69,2023-09-13,5,Vestuário,20,Calça Jeans
2,Tênis,Vestuário,2023-05-22,1907.03,21
1,2023-02-21,Smartwatch,22,1947.62,Eletrônicos
4705.95,6,23,2023-01-09,Eletrônicos,Notebook
7,Vestuário,4847.69,24,2023-11-09,Jaqueta
7,Alimentos,2023-06-13,3309.12,25,Café
Tablet,2023-02-20,9,26,Eletrônicos,2431.25
Smartphone,8,2023-06-29,27,Eletrônicos,766.73
2,Câmera,Eletrônicos,1263.42,2023-12-22,28
2023-02-16,10,Monitor,1815.7,Eletrônicos,29
3,Vestuário,Shorts,3195.59,30,2023-12-28
4224.42,8,Vestuário,2023-12-18,31,Saia
32,3,Vestuário,235.74,2023-03-01,Vestido
33,3,Alimentos,814.22,Arroz,2023-06-19
34,4,3942.86,Blusa,Vestuário,2023-07-30
2,35,Smartphone,2023-02-01,Eletrônicos,959.61
1,36,2276.74,Eletrônicos,Smartphone,2023-09-05
2018.76,5,37,2023-04-28,Smartphone,Eletrônicos
38,2023-06-17,9,Vestuário,247.07,Saia
1,39,Pão,Alimentos,365.92,2023-03-29
2,Tablet,40,1256.23,2023-07-01,Eletrônicos
8,41,Vestuário,2023-06-26,2835.99,Vestido
3,42,Vestuário,2023-03-04,4695.13,Saia
1,Tablet,43,2023-05-10,2587.04,Eletrônicos
4,Tablet,1768.52,44,2023-03-12,Eletrônicos
Chocolate,9,2023-10-24,Alimentos,3018.38,45
2023-01-06,321.22,2,Vestuário,46,Calça Jeans
4,Smartphone,4174.93,47,2023-05-01,Eletrônicos
3395.39,Tablet,7,48,2023-12-30,Eletrônicos
8,Monitor,49,4855.67,Eletrônicos,2023-06-25
3844.39,8,Vestuário,50,Shorts,2023-02-25
